SOC,company_name,job_title,senority_level,location,zip_code,employment_type,max_salary,listed_time
53-7062,The Job Network,Mover/Junk Hauler/Crew Member,,"St Louis, MO",63367,Temporary,25,1712903574000
17-3013,The Job Network,Dental CAD/CAM Designer - $20-$30/hour,,"Memphis, TN",38103,Full-time,,1712903577000
43-5061,The Job Network,Production Planner,,"Hanover, PA",17331,Full-time,,1712903593000
43-4051,Brady Insurance Group LLC,Customer Service Representative,,"Kokomo, IN",46901,Full-time,,1713535002000
19-3051,,Associate Planner,,"Waco, TX",76701,Full-time,,1713391208000
15-1252,Ideando Inc,Full Stack Engineer,,United States,,Full-time,,1713493353000
15-1221,navXcom,Computer Scientist,,United States,,Volunteer,,1713493919000
15-1254,Diment & Associates,Front end specialist,,"Baton Rouge, LA",70801,Full-time,,1712889124000
43-4051,iWealth,Client Service Associate,,"Waseca, MN",56093,Full-time,,1713565528000
41-3091,International Bath and Tile,Sales and Design consultant,,"San Diego, CA",92101,Full-time,26,1712897678000
13-2011,"Grow West MD, LLC",Staff Accountant,,"Cumberland, MD",21502,Full-time,,1713530118000
11-3051,Galerie Candy and Gifts,Quality Assurance Manager,Mid-Senior level,"Hebron, KY",41048,Full-time,,1713533258000
17-2112,"I.T. Solutions, Inc.","Validation Engineer, Labware LIMS",Mid-Senior level,"Foster City, CA",96125,Contract,70,1713480441000
15-2051,LT Apparel Group,Intern- Business Analytics,,Greensboro--Winston-Salem--High Point Area,,Temporary,,1712862491000
11-1021,,Service Manager,,"Los Angeles, CA",90001,Full-time,90000,1713499851000
17-3024,ViaBot,Robot Monitor & Maintenance Technician,,"Sunnyvale, CA",94085,Full-time,,1712642506000
11-1021,"City of Germantown, TN",Director of Public Works,,"Germantown, TN",38138,Full-time,154398.4,1713469729000
11-2022,Rogue Ales & Spirits,National Sales Manager,,United States,,Full-time,,1713553761000
17-2111,"Thorpe Design, Inc.",Fire Sprinkler Designer,,"Brentwood, CA",94513,Full-time,40,1713279986000
11-9033,Butler University,"Assistant Director of Admission, Midwest Regional Representative",,"Minneapolis, MN",55401,Full-time,,1712856118000
43-6011,Athos Private Wealth,Executive Assistant,,"Holladay, UT",,Full-time,,1711166120000
11-1021,Eastern Indiana Works,Director of Operations,,"Muncie, IN",47302,Full-time,60000,1712666783000
43-4051,Grunwald Mechanical Contractors & Engineers,Service Coordinator,,"Omaha, NE",68102,Full-time,75000,1712865607000
13-1131,Dynamic SRG,Fundraising Associate,,New York City Metropolitan Area,,Full-time,,1712347292000
27-3031,Naked Wardrobe,Social Media Coordinator,,"Los Angeles, CA",90001,Full-time,28,1713467362000
37-2011,"Executive Cleaning Services, Inc",Professional Window Cleaning Technician,,"Omaha, NE",68102,Full-time,40,1712346783000
13-1161,Lynx Systems,Marketing Coordinator,,"Richardson, TX",75080,Full-time,85000,1713471597000
11-9021,"W.C. Construction Company, LLC",Construction Project Manager,,Raleigh-Durham-Chapel Hill Area,,Full-time,,1713293225000
43-6014,ActOne Group,Administrative Assistant - CONCUR,Associate,"New York, NY",10001,Full-time,90000,1713563741000
43-9061,Aston Carter,Seasonal Office Administrator,Entry level,"Dayton, OR",97114,Contract,,1710460800000
13-1161,Lead Lab,Digital Marketing Intern,,"Redmond, WA",98052,Internship,,1713459407000
13-1082,Armstrong Builders LLC,Project Engineer,,"Kailua-Kona, HI",96740,Full-time,90000,1713481272000
17-1011,ASA Architects,Architect/Project Manager,,"Las Cruces, NM",88001,Full-time,60000,1712886751000
43-6014,Cape Fear Commercial,Administrative Assistant,,"Wilmington, NC",28401,Full-time,,1713389657000
29-2011,Avero Diagnostics,Histologist - HT,,"Bellingham, WA",98225,Full-time,,1713458189000
15-1252,SysMind,Salesforce Vlocity Developer,,"Jersey City, NJ",07302,Contract,,1713211344000
43-4051,ABC Farigua Division,Customer Service Representative,Entry level,"Greater Orlando, FL",32801,Full-time,105000,1713462283000
13-1121,San JosÃ© Clinic,Events & Communications Assistant,,"Houston, TX",77002,Internship,,1713207206000
43-4051,"Signature Estate & Investment Advisors, LLC",Client Service Associate / Practice Manager,,"Redondo Beach, CA",90277,Full-time,100000,1713552179000
17-1011,Florida Lifestyle Homes,Architectural Designer,,"Fort Myers, FL",33900,Full-time,,1713459021000
27-3043,Bellevue Downtown Association,Marketing & Communications â€“ Content Writer Internship,,"Bellevue, WA",98004,Part-time,,1713482516000
47-2073,AB Underground,Heavy Equipment Operator,,"La Salle, CO",80645,Full-time,35,1713458783000
13-1071,,Recruitment Manager,,"Minnesota, United States",,Full-time,100000,1713458116000
15-1243,Saxon AI,Data Architect,,"San Francisco, CA",94101,Contract,,1713536822000
13-1199,Weyerhaeuser,Operations Specialist,,"Castle Rock, WA",98611,Full-time,109113,1713279336000
11-9021,Eclipse Building Corp,Commercial Construction Project Managers/Superintendents,,"Land O' Lakes, FL",34637,Full-time,,1712859124000
43-4161,KLA (Kim Lundgren Associates),HR & Administrative Assistant,,United States,,Full-time,72000,1712893095000
13-1023,"Navajo Transitional Energy Company, LLC",Contract Administrator,,"Broomfield, CO",80020,Full-time,90000,1713212018000
13-1082,McInnis Engineering,Project Manager,,"Tacoma, WA",98402,Full-time,,1712634071000
11-2032,Consulate General of Israel to New England,Director of Communications and Digital Diplomacy,,"Boston, MA",02108,Full-time,,1712859275000
11-2022,Kenai Capital Advisors,"Director, Investment Sales",,"Littleton, CO",80120,Full-time,40000,1713468807000
29-2052,,Pharmacy Technician,,"Lake County, IL",60156,Contract,,1713209759000
33-1099,White Bottle Inc.,Sanitation Supervisor,,"Stanton, CA",90680,Full-time,27,1713460499000
23-1011,"McDonnell & Associates, P.C.",Trial Attorney,,"King of Prussia, PA",19406,Full-time,,1713208277000
15-1252,Webologix Ltd/ INC,Anaplan Developer,Mid-Senior level,United States,,Full-time,,1713470939000
11-2022,Garven Design Group,Senior Account Manager,,"Edina, MN",,Full-time,,1713454477000
27-3041,Nebraska Public Media,Finishing Editor,,"Lincoln, Nebraska Metropolitan Area",,Full-time,,1713209868000
41-3011,Crisp,Account Executive - Mid-Market,Mid-Senior level,"Chicago, IL",60601,Full-time,,1712858974000
13-1082,,Administrative Assistant Project Coordinator,,"Collierville, TN",38017,Full-time,,1713399132000
11-3021,,Technical Product and IT Manager for Data Center Dedicated Server Leasing,,United States,,Full-time,225000,1713554857000
27-4032,Elica Electric Co,Motion Graphic Designer and Film Editor,,"New York, NY",10001,Full-time,,1712665245000
27-1024,Century Trucks & Vans,Social Media Manager and Graphic Designer,,"Grand Prairie, TX",75050,Full-time,30,1713564554000
21-1014,Tree of Life Counseling Center,Licensed Mental Health Counselor/ Licensed Clinical Social Worker,,"Princeton, NJ",08540,Full-time,,1712857710000
43-4051,Marquee Event Rentals,Client Service Representative,,"Austin, TX",78701,Full-time,,1713465770000
23-2011,"Testa Heck Testa & White, P.A.",Legal Assistant / Paralegal,,"Vineland, NJ",08360,Full-time,,1713279085000
13-2011,Health & Rehab Solutions,Accounting Specialist,,"Kalispell, MT",59901,Full-time,50000,1712349392000
41-3091,Ameriflex,Client Relationship Specialist,,United States,,Full-time,,1713211936000
11-2022,,Account Manager,,"White Plains, NY",10601,Full-time,,1713553112000
19-3033,Fraser,Clinical Trainee / Pre-Liscneded Therapist,,Greater Minneapolis-St. Paul Area,,Full-time,,1713460369000
13-2082,Karuna Advisors,Tax Associate,,"Menlo Park, CA",94025,Full-time,,1713397108000
15-1252,USLI,Senior Developer,Associate,Greater Philadelphia,,Full-time,,1713538064000
51-8099,Moseley Architects,Energy and Asset Coordinator,,Raleigh-Durham-Chapel Hill Area,,Full-time,,1713530008000
17-3029,Axalume,Photonics Layout Intern,,"San Diego, CA",92101,Internship,,1713214828000
13-1161,"SEH Excavating, Inc.",Social Media Marketing Specialist Internship,,"Finksburg, MD",21048,Internship,,1713459370000
11-1011,ZM Jobs & Hiring Limited,Chief Executive Officer,,United States,,Part-time,,1712658481000
11-9141,Foley Development,Leasing & Property Management Specialist (Part-Time with Growth Potential),,"San Diego, CA",92101,Part-time,25,1713549758000
39-9031,Burn Boot Camp,Group Fitness Instructor,,"Oklahoma City, OK",73102,Part-time,,1712861480000
23-1011,LHH,Commercial Litigation Associate Attorney,Associate,"Jacksonville, FL",32099,Full-time,,1713540201000
11-1021,Kiddie Academies of Greater Seattle Careers,Assistant Director,,"Kirkland, WA",98033,Full-time,30,1713494862000
11-2021,CITY Boots,Marketing Manager,,"Fort Worth, TX",76102,Full-time,,1713211074000
11-2021,AVAVA,Associate Brand Manager,,"Waltham, MA",02451,Full-time,90000,1713569168000
27-3043,Grant Writing Solutions,Grants Writer - Subcontract,,United States,,Contract,,1713458670000
41-2031,LaBella Intimates & Boutique,Retail Salesperson,,"Orlando, FL",32801,Full-time,16,1713453217000
11-9033,Education Success Foundation,Administrator of College & Career Development,,"Rochester, NY",14604,Full-time,84864,1713463687000
11-2022,SDi Fire,Eastern Regional Sales Coordinator,,"Neptune, NJ",07753,Full-time,,1713212775000
15-1299,NLB Services,Java architect / Lead Java developer,,"Jersey City, NJ",07302,Full-time,,1712855339000
55-3015,DIGS Vacation Rentals.com,Field Operations Specialist,,"San Luis Obispo County, CA",93401,Full-time,60000,1713569706000
11-3021,KeyBank,Enterprise Data & Analytics Infrastructure Manager,,"Cleveland, OH",44102,Full-time,,1713451518000
49-9021,"Flo-Rite Mechanical, LLC",Heating Air Conditioning Technician,,"San Antonio, TX",78201,Full-time,,1713453551000
41-9011,Polyram Plastic Industries Ltd,Brand Representative,,United States,,Contract,,1712644314000
21-1014,Clarity Counseling Pittsburgh,Mental Health Therapist,,"Aliquippa, PA",15001,Part-time,60,1713210522000
43-4051,TECHEAD,Inbound Call Center Specialist,Associate,"Richmond, VA",23219,Contract,19,1713552897000
21-1099,Miracles for Kids,Community Program Assistant,,"Irvine, CA",92602,Part-time,,1713552297000
15-1255,Starup Insurance,User Experience Designer,,"California, United States",,Contract,,1712446094000
11-3031,,Corporate Controller,,"Flourtown, PA",19031,Full-time,120000,1712362846000
29-2034,Erlanger,CT Technologist,,"Chattanooga, TN",37402,Full-time,,1713471687000
43-6014,Throttle Company Vintage Motorcycles,Administrative Assistant Bookkeeper,,"Columbus, Ohio Metropolitan Area",,Full-time,,1713398013000
25-1124,Beat the Streets - Baltimore,Swahili Instructor,,"Baltimore, MD",21201,Contract,25,1713457205000
25-2021,LANE PUBLIC SCHOOL,Elementary School Teacher,,"Lane, OK",74555,Full-time,,1713392410000
11-3051,Action Equipment and Scaffold Company,Industrial Business Development Manager,,United States,,Full-time,100000,1713563757000
39-9031,The Line Method,Private Fitness Instructor,,"Washington, DC",20001,Part-time,,1713471396000
13-2051,McNaughton Bros. Inc.,Accounts Analyst,,"Indiana, PA",15701,Full-time,40000,1712862668000
41-9031,BÃ¶ning Ship Automation USA,Sales and Application Engineer,,"Louisiana, United States",,Full-time,,1713535286000
15-1252,StyleAI,Senior Software Engineer,,San Francisco Bay Area,,Full-time,,1713396833000
11-2022,,Director of Sales,,"Tampa, FL",33602,Full-time,,1712460212000
17-2141,Lorenz Motors,Drone-Car Engineer,,"Trenton, NJ",08608,Full-time,,1712884264000
23-1012,"Shute, Mihaly & Weinberger LLP",2L 2025 Summer Law Clerk,,"San Francisco, CA",94101,Temporary,,1713466631000
11-2021,Balltime,Marketing Manager,,United States,,Full-time,,1712664770000
13-1082,"PreScouter, Inc.","Scientific Project Manager for Food, Beverage, and Consumer Packaged Goods Industries (Project Architect | PA)",,United States,,Full-time,,1713565666000
11-3013,"MEC (Mayville Engineering Company, Inc.)",Maintenance Manager,,"Fond du Lac, WI",54935,Full-time,,1713389159000
29-1215,Health Alliance Solutions,Primary Care Leader Needed,,"Fresno, CA",93650,Full-time,297000,1713460238000
21-1014,"Superior Court of California, County of El Dorado",Child Custody Recommending Counselor,,"Placerville, CA",95667,Full-time,49.69,1713395062000
11-9151,Mi Familia Vota,Field Director,,"Phoenix, AZ",85003,Full-time,85000,1713456316000
41-3091,HirelyAI,Sales Development Representative,,"Oregon, United States",,Full-time,130813,1712346797000
29-2057,Mountain View Eye Center,Ophthalmic Technician,,"Fairbanks, AK",99701,Full-time,,1713392810000
13-2053,,Commercial Auto Underwriter Assistant,,"Texas, United States",,Full-time,22,1712428455000
51-4111,Prolink,Tool and Die Maker,Associate,Cincinnati Metropolitan Area,,Full-time,35,1713480193000
17-2141,"Dexterity, Inc.",Senior Mechanical Engineer,Mid-Senior level,"Redwood City, CA",94061,Full-time,190000,1712885131000
15-1252,Xoriant,DDI Engineer,,"Jersey City, NJ",07302,Contract,,1713277159000
17-2141,Mestek Machinery,Mechanical Design Engineer,,"Cedar Rapids, IA",52401,Full-time,95000,1713536394000
17-2112,Staff Management | SMX,Quality Engineer,Associate,"New Albany, IN",47150,Full-time,43,1713553909000
41-4012,Maranatha Consulting,ðŸŒŸðŸš€ðŸŒŠ Make Waves with Your Sales Skills! Earn $2500-$3500/Week! ðŸŒŠðŸš€ðŸŒŸ,,United States,,Contract,,1712430472000
23-1011,"Reed Leeper, P.C.",Associate Attorney,,"Marietta, GA",30008,Full-time,,1713450689000
25-2021,Bennett Academy,Montessori teacher for grades K-3,,Greater Phoenix Area,,Contract,,1712667402000
29-1216,Veritas Physician Management,Medical Consultant,,"Brooklyn, NY",11201,Contract,,1713477425000
47-2141,"Endeco Fabrication, LLC",Skilled Painter for Fabrication Shop,,"Brookhaven, MS",39601,Full-time,20,1713397683000
13-1161,Acadium,URGENT!! Influencer Marketing Intern (100% WFH),,United States,,Internship,,1712650568000
27-1014,Groove Jones,Blender Animator (Contract),Mid-Senior level,"Dallas, TX",75201,Contract,,1712863826000
39-9031,,Yoga Teacher,,"Queens, NY",11427,Contract,70,1713213239000
19-3032,AirTight Management,Experienced Growth Consultants with OD/OCM experience,,United States,,Contract,,1713463749000
13-1082,SICIS,Project Assistant,,"Bronx, NY",10451,Full-time,85000,1713462372000
11-3031,Society of St. Vincent de Paul Detroit,Director of Finance,,"Detroit, MI",48201,Full-time,110000,1713493855000
41-2031,Smith Imports LLC,Car Salesperson,,"Memphis, TN",38103,Full-time,75000,1713535791000
43-6011,,Executive Personal Assistant,,"Miami, FL",33122,Full-time,65000,1712345822000
17-2199,Citrine LLC,MEP Engineer,,"Lakewood, CO",80722,Full-time,100000,1713212985000
21-1012,Bishop Ludden Junior-Senior High School,School Counselor,,"Syracuse, NY",13202,Full-time,42000,1712859248000
43-4171,"Abgin Law, PC",Receptionist,,"Beverly Hills, CA",90210,Full-time,,1712862248000
43-3031,Soyventis North America LLC,Accounts Payable Specialist,,"Morristown, NJ",07960,Full-time,50000,1713211262000
35-3023,,Crew Member,,"Mesa, AZ",85201,Full-time,,1713409133000
17-2072,Excelon Solutions,Senior Electronics Design Engineer,,"East Aurora, NY",14052,Full-time,,1713536804000
13-1121,Experience Columbia SC,Special Event Manager,,"Columbia, South Carolina Metropolitan Area",,Full-time,,1713278506000
15-1253,Ascendion,Quality Assurance Specialist,Associate,"Seattle, WA",98101,Full-time,72000,1713463450000
29-1229,Universal Health Corporation,Attending Physician,,"Warsaw, VA",22572,Part-time,,1713211204000
29-1122,Saylor Physical Therapy,Pediatric Occupational Therapy,,"Aiken, SC",29801,Full-time,47,1713207678000
11-2022,Despard Analytics,Sales Director - Part-Time - Remote,,"Atlanta, GA",30303,Contract,,1712437713000
11-1021,Q Center,Request for Consultancy: Interim Managing Director,,"Portland, OR",97201,Contract,9000,1713484553000
41-2031,Ruff House Print Shop,Senior Retail Sales Associate,,"Lawrence, KS",66044,Part-time,,1713388134000
27-1025,DSGN Associates,Interior Designer,,"Dallas, TX",75201,Full-time,,1712865606000
41-4012,Willie's Superbrew,FIELD SALES REPRESENTATIVE - North Carolina,,"North Carolina, United States",,Full-time,,1713451800000
43-9199,"A&B Machine and Design, Inc.",Admin/HR/Customer Support,,"Sidney, OH",45365,Full-time,,1713555823000
11-2022,BODY20,Fitness Sales General Manager,,"Decatur, GA",30030,Full-time,75000,1713212757000
17-2141,JVM Global Inc,Mechanical Engineer,,"Boston, MA",02108,Full-time,,1713206340000
15-1254,"KTA Advising Group, LLC",Web Developer,,Washington DC-Baltimore Area,,Contract,40,1712429979000
11-1021,Bell Environmental,Bird Control Account Manager and Supervisor,,New York City Metropolitan Area,,Full-time,,1713390099000
23-2011,"KAZAN, MCCLAIN, SATTERLEY, & GREENWOOD",Litigation Paralegal,,"Oakland, CA",94601,Full-time,50,1713566862000
15-1299,Akshaya Inc,Software Implementation Program Manager,,"Cupertino, CA",95014,Contract,,1713561702000
11-3012,Internal Fire Pilates,Office Manager,,"Mill Valley, CA",94941,Part-time,30,1713461124000
11-1021,Louisville Water Company,Vice President - Engineering & Production Operation,,"Louisville, KY",40202,Full-time,,1712669890000
31-9092,Burnett Plastic Surgery,Medical Assistant,,"Westfield, NJ",07090,Full-time,24,1713211618000
15-1299,"Sunray Enterprise, Inc.","Managed File Transfer Specialist (connect direct , NDM) | REMOTE ROLE",,United States,,Contract,,1713450419000
41-3091,Honey Homes,Inbound Sales & Onboarding Specialist,,United States,,Contract,,1712888123000
13-1082,Practical Design Partners,Senior Project Engineer,,"Atlanta, GA",30303,Full-time,110000,1713455724000
27-1022,Premier Brands Group Holdings,"Technical Designer, Womans Denim Bottoms ",Mid-Senior level,New York City Metropolitan Area,,Full-time,95000,1713555549000
43-6014,Sharper Office Admin ,Admininistrative Assistant Intern,,New York City Metropolitan Area,,Internship,,1713392605000
23-1011,,Associate Attorney,,"San Diego, CA",92101,Full-time,150000,1713391925000
29-1051,IV League,Clinical Pharmacist,,"Culver City, CA",90230,Full-time,72,1713471315000
11-1021,Holding Company,Director Origination,,United States,,Full-time,,1712402943000
41-3091,Kings Of Neon,Sales & Design Consultant,,"Nevada, United States",,Full-time,80000,1713491024000
15-1299,"Decision Point Security, Inc.",Cybersecurity Test Engineer â€“ Remote,,"Florida, United States",,Full-time,,1712856732000
11-9199,Coinflow Labs,Director of Compliance,,"Chicago, IL",60601,Full-time,,1713389421000
43-1011,Accu Reference Medical Lab,Histology Supervisor,,"Linden, NJ",07036,Full-time,,1713551762000
11-2021,Visit Anchorage,Digital Marketing Manager,,"Anchorage, AK",99501,Full-time,,1713569869000
11-3121,GlobeX Leisure and Travel,Human Resources Manager,,"Sevierville, TN",37862,Full-time,65000,1713469757000
23-2011,"Harris, Finley & Bogle, P.C.",Litigation Support Specialist,,"Fort Worth, TX",76102,Full-time,,1713401496000
13-1071,,Healthcare Recruiter,,"Flower Mound, TX",75022,Full-time,,1712870240000
13-2072,Liberty Home Mortgage Corporation,Mortgage Loan Officer,,"Independence, OH",44131,Full-time,100000,1712855887000
15-1254,Wanderboat AI,Founding Front-End Engineer (Web),,San Francisco Bay Area,,Full-time,,1713496297000
17-2141,Diversified Technologies International,Design Engineer (Stellantis Background),,"Roseville, MI",48066,Full-time,,1713459990000
49-3042,"Sargents Equipment & Repair Service, Inc.",Heavy Equipment Mechanic,,"Pardeeville, WI",53954,Full-time,,1712861808000
41-1011,Cimolai-HY LLC,Shop Supervisor,,"Olean, NY",14760,Full-time,200000,1713549963000
11-2032,Project VOYCE,Senior Communications and Development Manager,,Denver Metropolitan Area,,Full-time,75000,1710811382000
41-4012,National Signs,Sales Consultant (Outside Sales),,"Houston, TX",77002,Full-time,65000,1713469735000
15-1252,HireBus,Principal Backend Engineer,,United States,,Full-time,225,1713470676000
13-1161,Pier,Sales and Marketing Assistant (Graduate),,"Los Angeles, CA",90001,Full-time,5000,1713280783000
27-3043,Loyalty360,Loyalty Content Writer & Operations Manager,,"Cincinnati, OH",45202,Full-time,,1713471795000
49-2021,"Arcticom LLC, a BSNC Company",2 Way Radio Installer,,"Anchorage, AK",99501,Full-time,,1712361833000
11-1011,Got10IN,Co-Founder,,"Berkeley, CA",94702,Internship,,1712441781000
11-1021,Long Grove Pharmaceuticals,Director of Technical Operations,,"Rosemont, IL",61568,Full-time,,1713475519000
17-2199,SemiNex Corporation,Wafer Process Engineer - Laser diode Chip Fabrication,,"Danvers, MA",01923,Full-time,,1712460134000
23-1011,"Finazzo, Cossolini, Oâ€™Leary, Meola & Hager, LLC",Associate Attorney - Commercial Litigation,,"Morristown, NJ",07960,Full-time,,1713483737000
11-1021,"Cira Tek, Inc",Program Manager,,"Portland, OR",97201,Contract,,1713477147000
29-1141,MD Esthetics Brand,Nurse Injector,,"Norfolk, VA",23502,Full-time,130000,1712403639000
29-1171,,Primary Care Nurse Practitioner / Physician Assistant,,"Aitkin, MN",56431,Full-time,,1713450961000
11-3031,Seafarer Consulting,Fractional CFO,,United States,,Part-time,,1713461908000
43-6014,AVANCE CONSULTING,Administrative Assistant,,"Bellevue, WA",98004,Full-time,,1713214497000
41-4012,"Merakris Therapeutics, Inc.",Distributor Sales Specialist,,United States,,Contract,,1713449232000
41-4012,The Viscusi Group,Outside Salesperson,Associate,New York City Metropolitan Area,,Full-time,,1713450187000
39-9041,The Bird House - Hospice Home of Johnson County,House Coordinator,,"Iowa City, IA",52240,Full-time,25,1713538745000
15-1252,ZenithMinds Inc,Sr Data Engineer with Kafka,,"Austin, TX",78701,Full-time,,1713208673000
15-1252,Bright Sparks,Unpaid Internship: Development Team,,United States,,Volunteer,,1713461923000
51-4031,"P&F Machining, Inc.",Swiss Setup Operator,,"Otsego, MN",55369,Full-time,,1713555892000
11-3121,The Morgan Library & Museum,Manager of Human Resources,,"New York, NY",10001,Full-time,94000,1713212411000
13-1082,"Blois Construction, Inc.",Project Manager,,"Oxnard, CA",93030,Full-time,134000,1713389767000
11-3121,1080 Learning Center,People Manager or Workplace Counselor,,"Denver, CO",80202,Part-time,20,1713534168000
